channel x_pos y_pos z_pos
1085 -120 50 1250
1086 -120 50 1240
1087 -120 50 1230
1088 -120 50 1220
1089 -120 50 1210
1090 -120 50 1200
1091 -120 50 1190
1092 -120 50 1180
1093 -120 50 1170
1094 -120 50 1160
1095 -120 50 1150
1096 -120 50 1140
1097 -120 50 1130
1098 -120 50 1120
1099 -120 50 1110
1100 -120 50 1100
1101 -120 50 1090
1102 -120 50 1080
1103 -120 50 1070
1104 -120 50 1060
1105 -120 50 1050
1106 -120 50 1040
1107 -120 50 1030
1108 -120 50 1020
1109 -120 50 1010
1110 -120 50 1000
1111 -120 50 990
1112 -120 50 980
1113 -120 50 970
1114 -120 50 960
1115 -120 50 950
1116 -120 50 940
1117 -120 50 930
1118 -120 50 920
1119 -120 50 910
1120 -120 50 900
1121 -120 50 890
1122 -120 50 880
1123 -120 50 870
1124 -120 50 860
1125 -120 50 850
1126 -120 50 840
1127 -120 50 830
1128 -120 50 820
1129 -120 50 810
1130 -120 50 800
1131 -120 50 790
1132 -120 50 780
1133 -120 50 770
1134 -120 50 760
1135 -120 50 750
1136 -120 50 740
1137 -120 50 730
1138 -120 50 720
1139 -120 50 710
1140 -120 50 700
1141 -120 50 690
1142 -120 50 680
1143 -120 50 670
1144 -120 50 660
1145 -120 50 650
1146 -120 50 640
1147 -120 50 630
1148 -120 50 620
1149 -120 50 610
1150 -120 50 600
1151 -120 50 590
1152 -120 50 580
1153 -120 50 570
1154 -120 50 560
1155 -120 50 550
1156 -120 50 540
1157 -120 50 530
1158 -120 50 520
1159 -120 50 510
1160 -120 50 500
1161 -120 50 490
1162 -120 50 480
1163 -120 50 470
1164 -120 50 460
1165 -120 50 450
1166 -120 50 440
1167 -120 50 430
1168 -120 50 420
1169 -120 50 410
1170 -120 50 400
1171 -120 50 390
1172 -120 50 380
1173 -120 50 370
1174 -120 50 360
1175 -120 50 350
1176 -120 50 340
1177 -120 50 330
1178 -120 50 320
1179 -120 50 310
1180 -120 50 300
1181 -120 50 290
1182 -120 50 280
1183 -120 50 270
1184 -120 50 260
1185 -120 50 250
1186 -120 50 240
1187 -120 50 230
1188 -120 50 220
1189 -120 50 210
1190 -120 50 200
1191 -120 50 190
1192 -120 50 180
1193 -120 50 170
1194 -120 50 160
1195 -120 50 150
1196 -120 50 140
1197 -120 50 130
1198 -120 50 120
1199 -120 50 110
1200 -110 50 2500
1201 -110 50 2490
1202 -110 50 2480
1203 -110 50 2470
1204 -110 50 2460
1205 -110 50 2450
1206 -110 50 2440
1207 -110 50 2430
1208 -110 50 2420
1209 -110 50 2410
1210 -110 50 2400
1211 -110 50 2390
1212 -110 50 2380
1213 -110 50 2370
1214 -110 50 2360
1215 -110 50 2350
1216 -110 50 2340
1217 -110 50 2330
1218 -110 50 2320
1219 -110 50 2310
1220 -110 50 2300
1221 -110 50 2290
1222 -110 50 2280
1223 -110 50 2270
1224 -110 50 2260
1225 -110 50 2250
1226 -110 50 2240
1227 -110 50 2230
1228 -110 50 2220
1229 -110 50 2210
1230 -110 50 2200
1231 -110 50 2190
1232 -110 50 2180
1233 -110 50 2170
1234 -110 50 2160
1235 -110 50 2150
1236 -110 50 2140
1237 -110 50 2130
1238 -110 50 2120
1239 -110 50 2110
1240 -110 50 2100
1241 -110 50 2090
1242 -110 50 2080
1243 -110 50 2070
1244 -110 50 2060
1245 -110 50 2050
1246 -110 50 2040
1247 -110 50 2030
1248 -110 50 2020
1249 -110 50 2010
1250 -110 50 2000
1251 -110 50 1990
1252 -110 50 1980
1253 -110 50 1970
1254 -110 50 1960
1255 -110 50 1950
1256 -110 50 1940
1257 -110 50 1930
1258 -110 50 1920
1259 -110 50 1910
1260 -110 50 1900
1261 -110 50 1890
1262 -110 50 1880
1263 -110 50 1870
1264 -110 50 1860
1265 -110 50 1850
1266 -110 50 1840
1267 -110 50 1830
1268 -110 50 1820
1269 -110 50 1810
1270 -110 50 1800
1271 -110 50 1790
1272 -110 50 1780
1273 -110 50 1770
1274 -110 50 1760
1275 -110 50 1750
1276 -110 50 1740
1277 -110 50 1730
1278 -110 50 1720
1279 -110 50 1710
1280 -110 50 1700
1281 -110 50 1690
1282 -110 50 1680
1283 -110 50 1670
